Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
3;RGE SUL;3;RGE SUL;880,749;899,675;897,252;875,232;824,974;852,412
5;BANDEIRANTE;5;BANDEIRANTE;1.218,578;1.238,716;1.242,774;1.188,957;1.182,321;1.201,759
8;ENERGISA MR;8;ENERGISA MR;224,933;213,408;213,742;203,136;193,665;192,769
10;CEAL;10;CEAL;560,390;560,182;559,300;529,431;494,463;494,730
13;ENERGISA BO;13;ENERGISA BO;64,251;70,781;65,355;70,722;;
15;CELG;15;CELG;1.731,749;1.760,872;1.738,741;1.735,472;1.681,980;1.693,622
16;CELPA;16;CELPA;1.323,682;1.315,727;1.315,118;1.325,053;1.353,459;1.382,714
17;CELPE;17;CELPE;2.022,881;1.919,736;2.009,395;1.941,498;1.893,257;1.812,492
18;ENERGISA TO;18;ENERGISA TO;268,586;277,354;268,240;299,437;288,269;284,132
19;CEMAR;19;CEMAR;923,633;918,951;916,363;913,565;936,960;946,738
20;ENERGISA MT;20;ENERGISA MT;1.121,166;1.168,737;1.118,895;1.194,901;1.138,468;1.141,557
22;CEPISA;22;CEPISA;527,564;503,389;504,592;509,637;530,539;530,242
23;CESP;23;CESP;;;;;9,961;17,928
24;AMPLA;24;AMPLA;1.455,008;1.435,050;1.424,461;1.352,892;1.297,727;1.310,584
26;CHESF;26;CHESF;94,316;94,316;94,316;94,316;94,316;99,116
30;COELBA;30;COELBA;2.657,768;2.680,722;2.633,664;2.572,784;2.462,404;2.402,567
31;COELCE;31;COELCE;1.539,096;1.539,403;1.487,375;1.491,092;1.486,626;1.500,875
33;COSERN;33;COSERN;776,223;757,283;740,852;710,161;719,209;704,379
34;CPFL PAULISTA;34;CPFL PAULISTA;3.006,339;3.151,661;3.000,041;3.167,419;2.969,906;2.845,080
35;CPFL GERACAO;35;CPFL GERACAO;95,317;94,947;98,040;98,040;98,040;98,040
37;CSN ENERGIA;37;CSN ENERGIA;81,520;121,384;124,973;87,695;85,160;75,694
39;CVRD;39;CVRD;38,114;38,114;37,775;38,114;38,114;38,114
40;DFESA;40;DFESA;65,960;65,960;65,960;65,960;65,960;65,960
41;RIO PARANAPAN;41;RIO PARANAPAN;45,243;45,243;45,243;45,243;45,243;45,243
