Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;377.464,169;343.286,814;320.211,504;242.623,418;207.857,905;216.824,942;193.392,377;193.674,292;201.460,340;221.936,301;280.056,489;370.817,540
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;250.120,666;220.667,403;201.204,849;156.179,940;127.067,509;119.900,525;128.984,224;124.557,707;140.495,072;153.644,492;195.403,429;237.107,055
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;;233.737,400;206.707,847;176.470,814;222.341,919;256.042,825;216.150,886;267.507,348;248.110,269;186.808,141;215.580,958;172.099,997;211.361,033
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;364.278,739;323.009,367;371.358,541;318.000,329;290.167,170;296.571,347;255.946,737;274.239,745;295.656,889;306.628,741;337.653,097;343.305,771
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;272.732,134;241.823,707;251.300,496;205.311,796;170.108,962;158.517,134;161.298,431;164.835,259;200.273,448;214.588,751;243.698,009;250.685,457
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;;255.147,389;218.242,038;215.725,066;287.227,393;352.171,635;294.501,981;351.773,759;339.123,552;276.412,575;309.297,780;209.019,609;211.484,719
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;57.560,411;49.405,676;55.865,077;47.382,926;42.688,736;43.411,087;36.690,593;39.104,757;45.167,877;46.311,898;50.004,629;51.290,350
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;41.692,489;36.290,522;37.345,395;30.534,071;25.306,338;23.457,948;23.614,595;24.255,895;30.396,940;32.300,878;36.001,617;37.414,038
8;ENERGISA MG;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.;;37.766,043;32.510,604;31.847,096;43.054,461;52.974,846;44.270,868;52.809,288;50.208,736;42.785,279;46.890,146;30.461,821;30.607,374
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;;191.571,704;178.031,928;207.137,744;178.189,767;164.933,335;154.017,101;132.427,985;135.192,252;151.904,414;165.600,940;192.079,072;203.463,963
