Cód. Perfil;Sigla;Nome Empresarial;CNPJ;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
3;RGE SUL;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;02.016.440/0001-62;798.763,107;669.366,551;733.712,997;468.181,624;466.501,843;470.889,960
5;BANDEIRANTE;EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.;02.302.100/0001-06;804.304,303;741.051,828;817.602,080;729.537,925;750.631,652;713.985,365
8;ENERGISA MR;ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.;19.527.639/0001-58;136.712,911;127.862,627;145.537,185;129.080,436;128.519,748;123.264,435
10;CEAL;EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.;12.272.084/0001-00;400.576,057;362.683,508;405.441,695;376.669,264;373.221,216;322.906,658
13;ENERGISA BO;ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A;08.826.596/0001-95;51.971,512;49.642,298;55.624,069;51.570,378;0,000;0,000
15;CELG;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A;01.543.032/0001-04;1.029.545,590;1.020.800,658;1.122.707,762;1.081.040,113;1.135.926,628;1.050.134,684
16;CELPA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;04.895.728/0001-80;919.496,597;821.719,791;917.168,324;909.003,549;1.007.268,631;994.610,634
17;CELPE;COMPANHIA ENERGETICA DE PERNAMBUCO;10.835.932/0001-08;1.217.839,268;1.113.289,279;1.233.077,686;1.166.101,532;1.188.442,509;1.041.403,016
18;ENERGISA TO;ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.;25.086.034/0001-71;190.257,657;192.708,462;208.277,934;210.852,936;236.052,921;229.378,824
19;CEMAR;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A;06.272.793/0001-84;654.095,411;593.247,930;656.805,327;651.496,822;732.561,255;706.868,521
20;ENERGISA MT;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;03.467.321/0001-99;677.951,712;693.053,807;751.819,373;713.496,760;765.584,187;689.660,795
22;CEPISA;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A;06.840.748/0001-89;342.265,594;307.378,157;345.991,526;331.545,839;374.713,520;362.295,828
24;AMPLA;AMPLA ENERGIA E SERVICOS S.A.;33.050.071/0001-58;1.084.957,634;1.054.815,973;1.171.827,689;952.917,538;879.541,583;794.588,986
30;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;15.139.629/0001-94;1.744.757,371;1.700.717,966;1.840.843,680;1.758.468,268;1.748.026,092;1.623.002,694
31;COELCE;COMPANHIA ENERGETICA DO CEARA;07.047.251/0001-70;1.082.806,570;960.327,377;1.042.291,147;982.394,077;1.110.479,922;1.060.224,379
33;COSERN;COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN;08.324.196/0001-81;443.267,422;403.494,448;421.803,579;395.899,056;433.035,510;391.912,164
34;CPFL PAULISTA;COMPANHIA PAULISTA DE FORCA E LUZ;33.050.196/0001-88;1.978.905,997;1.851.579,164;2.105.430,953;1.814.136,372;1.793.255,300;1.671.255,770
46;ELEKTRO;ELEKTRO REDES S.A.;02.328.280/0001-97;1.105.585,741;1.000.636,191;1.114.887,181;981.091,119;976.934,966;901.930,336
48;ELETRONORTE;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A;00.357.038/0001-16;0,000;0,000;0,000;0,000;0,000;0,000
49;ELETROPAULO;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;61.695.227/0001-93;2.989.318,499;2.821.539,165;3.178.785,420;2.803.761,378;2.916.458,280;2.770.688,849
51;ENERGISA SE;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A;13.017.462/0001-63;252.158,704;227.554,928;255.083,669;238.762,862;237.094,014;209.494,976
52;ENERGISA MS;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.;15.413.826/0001-50;437.410,058;392.850,420;468.767,564;391.114,912;368.009,446;305.095,384
55;ESCELSA;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.;28.152.650/0001-71;650.614,302;662.909,758;746.168,628;635.960,575;581.677,748;560.533,364
