Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19;nov/19;dez/19
3;RGE SUL;3;RGE SUL;2,343;43,343;43,343;43,343;43,343;43,343;3,453;3,453;3,453;7,690;7,690;7,690
3;RGE SUL;83729;RGE DIST;;;;;;;0,700;0,835;0,897;3,100;3,288;3,369
5;BANDEIRANTE;5;BANDEIRANTE;17,484;131,484;131,484;131,484;123,495;101,186;91,009;91,009;91,009;170,009;170,009;160,010
8;ENERGISA MG;8;ENERGISA MG;1,298;6,998;6,998;6,998;6,998;6,998;7,497;7,497;7,497;15,497;15,497;15,497
10;CEAL;10;CEAL;;;;;;;22,900;22,900;22,900;14,900;14,900;14,900
12;CEEE-GT;12;CEEE-GT;194,380;194,344;194,415;198,098;207,927;254,067;233,346;233,278;241,368;229,239;221,040;214,171
12;CEEE-GT;11898;CEEE-GT BUGRES;9,082;9,373;9,347;8,915;8,729;8,547;8,526;8,783;9,064;9,244;9,212;9,205
12;CEEE-GT;11899;CEEE-GT CANASTRA;21,796;22,496;22,433;21,397;20,949;20,512;20,463;21,079;21,753;22,186;22,109;22,092
12;CEEE-GT;11900;CEEE-GT CAPIGUI;0,627;0,647;0,645;0,615;0,602;0,590;0,588;0,606;0,625;0,638;0,636;0,635
12;CEEE-GT;11901;CEEE-GT ERNESTINA;2,942;3,037;3,028;2,889;2,828;2,769;2,763;2,846;2,937;2,995;2,985;2,982
12;CEEE-GT;11903;CEEE-GT FORQUILHA;0,863;0,890;0,888;0,847;0,829;0,812;0,810;0,834;0,861;0,878;0,875;0,874
12;CEEE-GT;11904;CEEE-GT GUARITA;0,899;0,928;0,925;0,883;0,864;0,846;0,844;0,869;0,897;0,915;0,912;0,911
12;CEEE-GT;11905;CEEE-GT HERVAL;0,263;0,272;0,271;0,259;0,253;0,248;0,247;0,255;0,263;0,268;0,267;0,267
12;CEEE-GT;11906;CEEE-GT IJUIZINHO;0,636;0,656;0,654;0,624;0,611;0,598;0,597;0,615;0,634;0,647;0,645;0,644
12;CEEE-GT;11907;CEEE-GT JACUI;106,166;109,574;109,267;104,221;102,041;99,910;99,673;102,670;105,956;108,062;107,691;107,607
12;CEEE-GT;11908;CEEE-GT PASSO DO INFERNO;0,472;0,487;0,486;0,464;0,454;0,444;0,443;0,457;0,471;0,481;0,479;0,479
12;CEEE-GT;11909;CEEE-GT PASSO REAL;60,121;62,051;61,878;59,020;57,785;56,578;56,445;58,142;60,002;61,195;60,985;60,938
12;CEEE-GT;11910;CEEE-GT SANTA ROSA;0,800;0,826;0,824;0,784;0,768;0,752;0,751;0,773;0,797;0,813;0,810;0,810
13;ENERGISA BO;13;ENERGISA BO;4,293;6,493;6,493;6,493;6,493;6,493;6,770;6,770;6,770;11,270;11,270;11,270
15;CELG;15;CELG;17,852;91,852;91,852;91,852;91,852;91,852;91,852;91,852;91,852;91,852;91,852;91,852
16;CELPA;16;CELPA;90,912;90,912;90,912;21,058;21,058;21,058;81,133;81,133;81,133;22,833;22,833;22,833
17;CELPE;17;CELPE;134,338;134,338;134,338;149,032;149,032;149,032;149,753;149,753;149,753;172,708;172,708;172,708
18;ENERGISA TO;18;ENERGISA TO;0,605;0,605;0,605;0,605;0,605;0,605;0,605;0,605;0,605;0,605;0,605;0,605
19;CEMAR;19;CEMAR;24,005;24,005;24,005;1,005;1,005;1,005;1,005;1,005;1,005;1,005;1,005;1,005
20;ENERGISA MT;20;ENERGISA MT;9,446;111,246;111,246;111,246;110,034;106,648;105,104;105,104;105,104;105,104;105,104;105,104
22;CEPISA;22;CEPISA;63,508;94,508;94,508;34,508;34,508;34,508;70,608;70,608;70,608;34,508;34,508;34,508
23;CESP;23;CESP;909,950;919,219;929,548;904,894;903,099;911,186;1.046,482;1.062,941;1.070,282;1.056,725;1.116,858;1.076,349
24;AMPLA;24;AMPLA;55,000;55,000;55,000;;;;;;;;;
25;CGTEE;2927;CGTEE 1LN10;297,000;297,000;297,000;300,000;300,000;300,000;300,000;300,000;300,000;300,000;300,000;300,000
26;CHESF;26;CHESF;562,056;544,608;541,611;533,266;490,421;447,385;449,766;440,577;372,977;418,636;429,052;420,224
26;CHESF;11912;CHESF BOA ESPERANCA;120,694;124,568;124,220;118,483;116,004;113,582;113,313;116,720;120,455;122,850;122,428;122,333
26;CHESF;11913;CHESF FUNIL;9,684;9,995;9,967;9,506;9,308;9,113;9,092;9,365;9,665;9,857;9,823;9,815
26;CHESF;11914;CHESF LUIZ GONZAGA;809,159;835,133;832,800;794,336;777,720;761,477;759,675;782,517;807,560;823,612;820,783;820,147
26;CHESF;11918;CHESF COMPLEXO PAULO AFONSO;1.877,291;1.937,553;1.932,139;1.842,901;1.804,350;1.766,668;1.762,487;1.815,481;1.873,581;1.910,824;1.904,261;1.902,785
26;CHESF;11919;CHESF PEDRA;3,321;3,428;3,418;3,260;3,192;3,125;3,118;3,212;3,315;3,381;3,369;3,366
26;CHESF;11920;CHESF XINGO;1.813,880;1.872,106;1.866,875;1.780,651;1.743,403;1.706,993;1.702,953;1.754,157;1.810,295;1.846,280;1.839,938;1.838,512
26;CHESF;59955;CHESF I5;15,859;16,311;16,849;17,412;18,213;18,920;18,963;18,408;16,736;16,262;15,655;15,552
30;COELBA;30;COELBA;0,398;0,398;0,398;0,398;0,398;0,398;0,398;0,398;0,398;0,398;0,398;0,398
31;COELCE;31;COELCE;19,040;100,040;100,040;100,040;100,040;100,040;100,040;100,040;100,040;100,040;97,646;100,040
33;COSERN;33;COSERN;19,673;19,673;19,673;25,268;25,268;25,268;28,708;28,708;28,708;58,305;58,305;58,305
34;CPFL PAULISTA;34;CPFL PAULISTA;18,231;76,431;76,431;552,268;551,891;550,837;127,890;127,890;127,890;172,783;172,783;172,783
35;CPFL GERACAO;35;CPFL GERACAO;95,172;95,031;95,172;95,172;95,172;95,172;95,172;93,222;93,222;93,222;93,222;93,222
35;CPFL GERACAO;59331;CPFL GER MACACO BRANCO;1,508;1,556;1,552;1,480;1,449;1,419;1,415;1,458;1,505;1,534;1,529;1,528
35;CPFL GERACAO;59332;CPFL GERA RIO DO PEIXE;5,258;5,427;5,412;5,162;5,054;4,948;4,937;5,085;5,248;5,352;5,334;5,330
37;CSN ENERGIA;37;CSN ENERGIA;127,289;129,620;136,700;134,478;155,148;156,140;104,388;85,444;100,786;110,873;182,563;148,737
37;CSN ENERGIA;2474;CSN ENERGIA I5;3,493;3,504;3,495;3,496;3,498;3,498;3,405;3,496;3,442;3,491;3,466;3,290
39;CVRD;39;CVRD;5,063;;;;;;;;;;;
39;CVRD;1834;CVRD PIE;795,995;700,889;687,079;707,868;709,996;1.027,386;911,951;993,841;1.104,159;1.117,054;1.142,982;1.066,938
39;CVRD;5044;CVRD PIE I5;;;;;;16,107;16,068;14,756;15,754;15,353;16,160;16,216
39;CVRD;5558;CVRD APE I5;;9,423;20,417;40,833;37,739;27,607;22,655;20,319;22,142;23,906;27,389;16,908
40;DFESA;40;DFESA;69,820;69,820;69,820;69,820;69,820;69,820;69,820;69,875;69,878;69,861;69,820;69,820
41;RIO PARANAPAN;41;RIO PARANAPAN;1.035,770;1.093,292;1.037,215;1.155,746;853,893;890,003;953,837;952,263;960,489;955,407;895,130;867,589
45;MACAE COM;45;MACAE COM;;4,100;;;16,040;;;;73,056;;;
46;ELEKTRO;46;ELEKTRO;97,833;172,833;157,838;157,833;157,062;149,931;150,925;150,925;150,925;304,425;304,425;304,425
47;ELETROBRAS;1718;ACEP;1.211,435;1.203,919;1.161,715;1.196,502;1.227,160;1.268,674;1.262,013;1.324,350;1.368,284;1.396,020;1.430,060;1.291,181
47;ELETROBRAS;1719;ACEI;6.429,531;6.414,795;6.421,082;6.419,055;6.411,806;6.430,472;6.462,058;6.461,852;6.466,845;6.457,681;6.458,231;6.427,318
47;ELETROBRAS;59764;ACEP AGUA LIMPA;13,868;13,771;13,771;13,771;13,771;10,864;10,000;10,000;10,000;9,987;11,789;13,771
47;ELETROBRAS;59827;ACEP ALTO IRANI;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526;13,526
47;ELETROBRAS;59828;ACEP ALTO SUCURIU;23,415;25,441;24,247;23,056;20,287;18,584;16,588;15,403;14,624;15,435;18,476;21,848
47;ELETROBRAS;59829;ACEP AQUARIUS;3,598;3,593;3,598;3,598;3,598;3,598;3,598;3,598;3,598;3,598;3,603;3,598
47;ELETROBRAS;59830;ACEP AREIA;11,400;11,292;11,292;11,292;11,292;7,904;5,646;5,646;5,646;7,637;8,315;11,292
47;ELETROBRAS;59831;ACEP AREIA BRANCA;19,211;19,205;18,295;18,153;15,584;7,142;1,879;2,200;2,200;2,746;6,571;11,859
47;ELETROBRAS;59832;ACEP BONFANTE;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230;13,230
47;ELETROBRAS;59833;ACEP BURITI;28,495;27,192;28,495;25,000;27,957;27,917;25,000;22,177;18,750;18,817;24,757;26,940
47;ELETROBRAS;59834;ACEP CACADOR;22,500;22,500;22,500;22,500;14,000;14,000;2,706;2,706;2,706;2,706;14,000;20,350
47;ELETROBRAS;59835;ACEP CACHOEIRA DA LIXA;6,384;4,207;5,972;7,289;8,056;8,463;9,336;8,472;6,729;6,918;8,447;8,736
47;ELETROBRAS;59836;ACEP CALHEIROS;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735;10,735
47;ELETROBRAS;59837;ACEP CARANGOLA;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527;9,527
47;ELETROBRAS;59838;ACEP CARLOS GONZATTO;4,435;4,458;4,032;4,583;5,242;5,556;5,376;5,376;5,556;5,242;5,093;4,435
47;ELETROBRAS;59839;ACEP CIDEZAL;15,661;16,600;16,441;13,592;12,906;12,635;11,692;11,854;11,367;11,551;12,024;14,285
