Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
3;RGE SUL;3;RGE SUL;1,493;1,493;1,493;1,331;1,331;1,331
5;BANDEIRANTE;5;BANDEIRANTE;58,829;58,829;147,829;150,940;152,940;57,940
8;ENERGISA MR;8;ENERGISA MR;6,583;6,583;6,583;6,583;6,583;6,583
10;CEAL;10;CEAL;5,708;5,708;5,708;5,708;5,708;5,708
15;CELG;15;CELG;88,292;88,292;88,292;88,292;88,292;88,292
16;CELPA;16;CELPA;10,953;10,953;10,953;10,953;10,953;10,953
17;CELPE;17;CELPE;39,447;39,447;39,447;39,118;39,118;39,118
18;ENERGISA TO;18;ENERGISA TO;2,049;2,049;2,049;2,049;2,049;2,049
19;CEMAR;19;CEMAR;11,655;11,655;11,655;11,655;11,655;11,655
20;ENERGISA MT;20;ENERGISA MT;39,768;39,768;39,768;39,768;39,768;39,768
22;CEPISA;22;CEPISA;9,001;9,001;9,001;9,001;9,001;9,001
23;CESP;23;CESP;859,682;896,490;902,971;824,199;797,498;836,631
24;AMPLA;24;AMPLA;76,974;76,974;76,974;40,747;40,746;40,747
26;CHESF;26;CHESF;849,140;834,172;846,410;791,512;841,251;861,063
30;COELBA;30;COELBA;0,574;0,574;0,574;0,574;0,574;0,574
31;COELCE;31;COELCE;36,682;36,682;36,682;35,872;35,872;35,872
33;COSERN;33;COSERN;22,007;22,007;22,007;22,007;22,007;22,007
34;CPFL PAULISTA;34;CPFL PAULISTA;12,230;12,297;12,204;11,791;11,831;11,667
35;CPFL GERACAO;35;CPFL GERACAO;98,040;98,040;98,040;98,040;98,040;98,040
37;CSN ENERGIA;37;CSN ENERGIA;84,636;118,669;124,831;87,000;87,000;77,683
39;CVRD;39;CVRD;38,165;38,114;37,775;38,114;38,114;38,114
40;DFESA;40;DFESA;65,940;65,940;65,940;65,940;65,940;65,940
41;RIO PARANAPAN;41;RIO PARANAPAN;983,466;985,593;983,640;856,104;880,986;794,569
46;ELEKTRO;46;ELEKTRO;37,458;37,484;37,516;37,523;37,515;37,488
48;ELETRONORTE;48;ELETRONORTE;2.437,652;2.440,031;2.437,797;2.434,756;2.434,341;2.534,625
49;ELETROPAULO;49;ELETROPAULO;62,128;62,128;62,128;58,851;58,851;58,851
51;ENERGISA SE;51;ENERGISA SE;6,139;6,139;6,139;6,139;6,139;6,139
52;ENERGISA MS;52;ENERGISA MS;0,922;0,922;0,922;0,922;0,922;0,922
53;EDP C;53;EDP C;1.326,342;1.551,803;1.650,771;1.510,021;1.796,867;2.249,668
55;ESCELSA;55;ESCELSA;53,727;53,727;68,727;123,498;88,498;53,498
56;FURNAS;56;FURNAS;2.089,637;2.138,479;2.179,614;1.959,393;1.822,179;1.998,894
57;ENGIE BR GER;57;ENGIE BR GER;2.738,351;3.144,988;3.550,712;3.336,830;3.240,093;3.191,820
58;NC ENERGIA;58;NC ENERGIA;454,431;480,820;898,281;687,217;351,057;354,711
